,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,Description,PhotoAmt,AdoptionSpeed
12,Dog,3,Mixed Breed,Female,Brown,Cream,Medium,Medium,Not Sure,Not Sure,Healthy,0,"Lost Dog Found (Bandar Menjalara, Kepong／Taman Bukit Maluri or Desa Park City) 迷途犬被尋獲 (甲洞孟加拉惹／武吉馬魯里／Desa Park City) Area lost puppy found 小狗被發現地點：Bandar Sri Menjalara, Kepong, KL, Malaysia 大馬吉隆坡甲洞孟加拉惹 How the lost dog found 狗兒如何被發現: The lost puppy entered my staying place itself. 迷途小狗自行進我居住地。 Condition 情況: 雖好像幾天沒進食。看起來健康。頸上系有紅帶。目前甲洞孟加拉惹住宅區保安處看顧。Few days without food. Looks healthy. Neck tied with red belt. Currently taken care by security guard of housing area of Bandar Menjalara.",2,2
13,Dog,78,Terrier,Male,Black,White,Medium,Medium,Not Sure,Not Sure,Healthy,0,"We moved out of our apartment to a landed home and there were many friendly strays in the neighbourhood. My grandma's neighbour was moving homes and was looking for a home for their pet.I pleaded with my mom to let us adopt him and he's fun-loving, he plays football and is a great goalie yet a loyal guardog. Now we are moving abroad and Max has no home.",2,4
14,Cat,6,Domestic Short Hair,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,to be spayed on /12 adorable & friendly,1,3
15,Dog,8,Mixed Breed,Female,Brown,No Color,Medium,Short,No,Yes,Healthy,10,shes active... she can obey wht command that u told her.. example shakeshand . sleep and eat .. command in english n tamil :).. she will bark if thr suspicius ppl... good for guard act like a male dog..she will sleept in mattres or cradle..whn she eat u can even touch her...we let her because no time to care she... so anyybody intrested to addopt plss call to.. im Mr.Tom..thx petfinder..,2,4
16,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,"This cutie dumped by it's owner at the market and almost kill by the car, after kicking by the guy, trying to hide herself for safe under the car while the driver is ready to run, ran to her hit on the car to notice the driver stop before i pulled her out and safe her. Luckily the kindness factory guy is allowed me to keep her there, cause my shop is full with 19 dogs and cats, situation not allow me to take in more, due to my work i could only feed her once a day and clean her cage. She's a black beauty, about 2months +, if anyone able to give her a forever home, please do directly contact with me or sms me,thanks! And PLEASE the more i can rehome, the more i can rescue!",8,2
17,Dog,12,Mixed Breed,Female,Brown,White,Medium,Medium,No,Yes,Healthy,0,"Godiva was rescued in Serdang residential area. Her group of friends were caught by dog catcher team and she is the only one left. Being stray, she is not afraid of human touch, she is believed to be fed by some household throughout the period. Godiva looks gorgeous and her unigue colour coats is the eye - catcher. Medium length hair, she is absolutely beautiful and would be a good loving companion. Please do give her a good home.",7,2
18,Dog,10,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,"Donut is a friendly doggie and very domesticated. She will bark at strangers and will not run out of the house. Needs a cage as her sleeping bed, she likes to lie in there. Her former owner abandoned her after she had demodex. She is cured now. Vaccination and neutering fees to be borne by adopter. Please call if you can give her a home.",0,4
19,Cat,3,Domestic Short Hair,Male,Brown,White,Small,Short,No,No,Healthy,0,"hello cikenets fans, i just wanna inform that cikenet is not lost, i just found out that he is adopted by one of this apartment resident, he become an indoor cat now, he is in good hands and im happy for him..",19,1
20,Cat,36,Persian,Male,Golden,No Color,Large,Medium,Yes,Yes,Healthy,0,"Garfield is a very large cat. Needs daily grooming. He has been groomed short and deflea. Very good wt other cats. Calm cat. He is neutered, vaccinated and dewormed. Must be kept indoors. Needs grooming and brushing as his fur is very soft and thick. If you are interested to adopt Garfield, please give me a call or sent me an email. thank you.",3,2
21,Cat,2,Persian,Male,Golden,No Color,Medium,Medium,No,No,Healthy,0,healthy toilet trained cute easy to look after playful,11,1
22,Cat,1,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,0,"Just saved this kitten from the street, but i have too many dogs at home, could not adopt her.",2,2
23,Dog,14,Rottweiler,Male,Black,Brown,Large,Short,Yes,No,Healthy,1,"healthy and active , skinny and tall, as the mother (doberman) fully vaccinated , dewormed. Authorities not allowed have more than 1 dog at home, they dont issue license .",0,3
24,Cat,1,Domestic Short Hair,Female,Brown,White,Small,Short,No,No,Healthy,0,"This kitten found at the roadside. Stay there and keep meowing. Kitty like to follow human feet. When we stand still, kitty just lean on our feed and sit quietly. Only for indoor adoption. And the adopter must take the kitten to vaccination (start from 2 months old) and neuter (at 6 months old).",1,2
25,Cat,1,Domestic Short Hair,Male,Black,No Color,Small,Short,No,No,Healthy,0,tataO betine ke jantan...ank pd ibu gak,1,1
26,Cat,3,Domestic Short Hair,Female,Black,White,Small,Short,Yes,No,Healthy,1,Open for adoption!!!,5,4
27,Cat,12,Domestic Long Hair,Female,Gray,No Color,Medium,Long,No,No,Healthy,0,email for more enquiry,5,1
28,Cat,2,Domestic Medium Hair,Female,Brown,No Color,Small,Medium,No,No,Healthy,0,si comel ini memerlukan seseorang yang boleh menyayangi n menjaganya. she is a lovely cat :) love to be with people :D perlu di adopt dengan segera kerana keadaan sekarang bahaya baginya untuk tinggal di sini.,3,1
29,Dog,12,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,"This is Whisky, rescued from the streets. He is looking for a loving home. He is very friendly and doesn't bark unnecessarily. Gets along quite well with another dog. Please contact me if you wish to adopt him. No caging up or tying up.",4,1
30,Dog,12,Mixed Breed,Male,Cream,No Color,Medium,Medium,Yes,No,Healthy,0,-playful -energetic dog -friendly and easily attached to owners -good to be guard and sports companion,1,3
31,Cat,2,Domestic Medium Hair,Female,White,No Color,Medium,Medium,No,No,Healthy,0,"We temporarily fostered Angel's mother and her three kittens after birth. Angel is born on the 11 March . She is 9 weeks old now. We are looking for a home for Angel. We are looking for working Malaysians or Malaysian families to adopt her. Angel was rather timid and shy when she was a younger kitten but we've seen her blossom in the last few weeks. She is really loving towards her siblings. Note : We put her up for adoption earlier but when the potential adopter failed to turn up, we decided to wait until she is at least two months old and emotionally more ready before putting up for adoption. Please Whatsapp me if you are interested. It is easier for me to keep track of the potential adopter via Whatsapp. I apologise if some of you have contacted me before and I was unable to get back to you. Sometimes it takes more than a week before potential adopters failed to turn up and I would have lost the contacts by then.",13,3
32,Dog,5,Jack Russell Terrier,Male,White,No Color,Medium,Short,Yes,Yes,Healthy,0,"Jack is a Jack Russell crossed. He is very friendly, active, playful, and joyful. He has four short legs and a stubby tail.Still it will wags vigourously atwhat delights him.You should see how he & his age gang troop around our garden & terrace.",6,3
33,Dog,12,Mixed Breed,Male,Brown,White,Medium,Medium,No,Yes,Healthy,0,"xiao gou already rescue one year dy,but still not yet get adopter yet....he so sweet n also like to play ....he hv a gf also ,his gf also is rescue after.one.year.dy...they need a.home.....both spay dy...hope can get adopt.one.pair.of.them",2,4
34,Cat,5,Domestic Medium Hair,Male,Yellow,White,Small,Long,Yes,No,Healthy,0,"He was very scared on our way back last night. Couldn't sit still and keep climbing car seat. After reached home, he walked around the house and smelt everything. Just let him familiarize himself with home first. After about 1 hour, I tried to tackle him by playing with him and petting him. He's very cute, active and a heavy sleeper. Love him. Thanks to Cik Amer for letting me adopt him. I'll upload his latest pics soon.",13,3
35,Dog,72,Mixed Breed,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,"She is a calm, gentle, good-mannered, friendly,loyal and obedient dog. She was ill-treated by her previous owner. She was sent for a detailed medical examination and to treat some of her wounds, currently still under the vet care. She is eager to shower love to her future owners.",3,4
36,Cat,60,Domestic Long Hair,Male,Black,Brown,Large,Long,Yes,Yes,Healthy,0,"Hi... I have one long haired adult male cat for adoption. Please email me for details.. I will have a few questions to ask before I determine who will be a suitable new owner of my beloved baby.. Please, a serious adopter only, who's willing to put heart and soul in caring for him...it's not a simple job :-) If you're just looking for a beautiful long haired kitty, please do not waste ur time emailing me. Thank u very much for ur cooperation. Serious adopters pls email me ",3,2
37,Cat,6,Domestic Short Hair,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,100,Personality:Shy at first but will sit next to you and sleep.A bit talkative but friendly.,1,4
38,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,Bouncer is a happy pup that needs a happy loving environment to grow up in and of course till its last day in this world. If you can do that for him please call or whatsapp Jocelyn at. Adoption requirement is commit to neutering. I collect back vaccination fee. Please Don't sms or email.,3,3
39,Dog,3,Mixed Breed,Female,Brown,White,Small,Short,Not Sure,Not Sure,Minor Injury,0,"She is very active, obedient, cute! Found her in the drain, she need someone urgently for her new home. She does have skin rashes n taken medicine. Need time for her rashes to go but she is very lovable. I cant be taking of her as my bro in law is malay.",0,3
40,Cat,5,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,30,"He was rescued as a little kitten about a month back, all its brothers and sisters have been adopted and he's left with his mother(a calico, whom he is very attached to; you can take them as a pair if you would like to, otherwise his mum is going back to the streets where she came from). He was a little weaker than the rest because he was the runt of the litter but he's been receiving treatment and is finally ready to embark on the journey of adoption! We would strongly encourage you to neuter him, he needs the extra health boost. He's a sweet little kitten, human friendly & quiet (except for meal times, he's a glutton)",4,4
41,Dog,24,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,"Skippy is super friendly, great with kids, easy to handle, you can keep her in door due to her small size, and also she is toilet trained.",2,2
42,Dog,4,Mixed Breed,Male,Cream,No Color,Large,Medium,No,No,Healthy,0,"Ceasar is a male puppy. He is a very lovely, active and intelligent puppy. He always wanted to play with others dog.",3,1
43,Cat,1,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,No,No,Healthy,0,"Currently I am taking care of 3 kittens 1 mother cat and 3 other teenager cats. too many for me. Anyone interested in adopting an orange 'puss without boots' baby cat, please sms me. I think it is a she, she is probably 3 weeks old. Need a milk bottle to feed her.",5,1
44,Dog,9,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Not Sure,Healthy,0,"Lego was in an accident and saved by one of our feeders. He is fully healed. One leg has a slight dent, as no surgery was needed. Lego loves humans and is sooo friendly. Poor boy is stuck in a cage all the time. He really needs a home. He does not care for other dogs though, Lego is a very handsome and loving boy.... please consider adopting him!!! Contact",2,4
45,Dog,60,Mixed Breed,Female,Brown,Cream,Medium,Short,No,Yes,Healthy,0,Milky was dump ard our area for more than half a year now. She became homeless n her resting place is under the drain. She got pregnant n delivered to 2-3 puppies during Christmas Eve but all died bcos they were all under the drain n it was raining every night during that period. She is now neutered n the vet said she is now in the pink of health. She is about 5-6 years old & a mongrel mix. Anyone who is interested to adopt n give her a home pls contact me,2,4
46,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,"Please help these puppies find good homes...A drain is definitely not a place we can call home! For adoption, kindly contact. Fosterer(s) are welcome, too.",5,2
47,Dog,48,Shih Tzu,Female,Brown,Cream,Medium,Medium,Yes,No,Healthy,0,Ding Ding is adopted. Thanks.,5,1
48,Cat,3,Domestic Short Hair,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,She needs a loving and caring home...,1,4
49,Cat,9,Domestic Short Hair,Female,Brown,White,Medium,Short,No,No,Healthy,0,"Almond is an adorable 9 month old female cat with a pretty brown and white coat and a soft and caring nature. She loves nothing more than a rub on her tummy, and we are very sad to give her away! She comes along with Luna, they are sisters and we cannot seperate them. NO CAGING PLEASE. -included: Cat Carrier [good material]",1,2
50,Dog,62,Mixed Breed,Male,Black,Golden,Medium,Medium,Yes,Yes,Healthy,0,Jasz is a very friendly and well-behaved Schnauzer . He doesn’t bark very often so he’s perfect for an apartment. He easily adopts to new places and people.,3,4
51,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,Dog 4 Adoption,1,3
52,Dog,2,Labrador Retriever,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,3 month-old male puppy for adoption. a cross between two pure breeds (Labrador & Jack Russel). Had all his shots/ vaccination.Has tan & black fur. Serious pet lovers only. Looking for a good home for him as we can't keep him. Ty ♥,5,1
53,Dog,2,Mixed Breed,Male,Black,Brown,Small,Short,Yes,No,Healthy,0,"he's rescued from the industrial park. very active. and now way on curing his minor disease (skin problem - ringworm). if the adopter wants it to be spayed, then we will spayed it before handling it over.",3,4
54,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,Hi Coco is a rescued puppy from the streets. If you would like to adopt her pls contact me. She is very active and is very friendly with other dogs.,1,0
55,Dog,12,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,"Adopted her at a drive at Citta Mall when she was about 2 months old. She is an active and playful dog, and very obedient.",3,3
56,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,For Adoption,5,1
57,Dog,1,Mixed Breed,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,"This puppy is currently living in an abandoned carpark and if not adopted, might be caught by the council as people has filed complaints against them. Very cute and will be neutered and vaccinated once it is 3 months old.",1,3
58,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,"Puppy saved from MPSP pound yesterday. She is all heathy and just received her 1st vaccination today. She is currently up for adoption.. Do give this pound puppy a second chance. Interested adopters, please contact or.",1,4
59,Dog,3,Silky Terrier,Male,Black,Brown,Small,Long,Yes,Not Sure,Healthy,750,"he is the best breed of the so you can train him easily. He is very playful.toilet, sit, come and jump trained. Moreover, his color will change to silver color when he grown. I don't have enough time to care him. He deserve to have a good family.",2,1
60,Dog,3,Mixed Breed,Male,Black,White,Medium,Medium,No,No,Healthy,0,Tanto needa a good home...he is a beautiful and more ppl person.very calm personality. Hoping for adopters around penang or kulim.He is not as photogenic as his brother....but everyone that seems him...goes like ...woooww so beautiful,1,2
61,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,Lovely puppy with good nature looking for a home sweet home. Interested to adopt pls contact ,3,3
62,Cat,6,Domestic Medium Hair,Female,Cream,White,Medium,Medium,No,No,Healthy,50,"Read story about Malee at She's very active,playful, healthy and ever since she recovers from mange & fungus, she's very manja",4,3
63,Cat,47,Bombay,Female,Black,Brown,Medium,Long,No,No,Healthy,0,I've had lulu since she was just a few weeks old. She is very well behaved and trained. Lulu is an indoor cat she has never been outside.,2,4
64,Dog,2,Rottweiler,Male,Black,Brown,Large,Medium,Not Sure,Not Sure,Healthy,0,"We was found this dog from a roadside i think its abandoned, Its a Rottweiler mix breed.. If anybody would like to take care and give him a new home by ur kind adoption pls do contact me. -Rishi Location : Taman kinrara sek 2,Puchong **Your kind adoption will give them a new life,Thanks and God Bless**",4,2
65,Dog,12,Mixed Breed,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,"Nickki is mixed breed,female, one year plus, fast learner and food motivated dog. Not suitable for house with small dog and cat. She has finished her training and she know Hand Signal as well. She know Sit, Down, Hand, Stay, Come, No,Spin ,Sleep,Heel, Hold Object and Fetch. She is toilet train on grass and will not enter your house. Forgive me if you think i want to earn popularity. But my action are based on good intentions.I hope Nickki will inspire people about street dog. Street Dog aren't stupid. They simply experienced more life than other pure breed dogs.If they are human, i should call them wise man. If they are given the same opportunity to learn, Street dogs can be as smart as pure breed dogs. Please give a chance to street dog. If you have a chance to choose between a Pure breed dog and a Street dog, choose KINDNESS and COMPASSION over status symbol.Try to help the poorest among the poor.You will always be right. medical conditions: She has mild skin sensitive.No human over left food for her. Recommend Fish oil for her skin to look shine . She need a bath only once a week. Adoption conditions 1) Adopter must be a Malaysian. 2) Strictly NOT for farm use, factory use, office use, workshop use. 3) she needs a landed property with space to move about. 4) Give all the health & medical attention such as vaccination, deworming, tick, and fish oil. 5) During the initial stage of adoption, allow visitation or what app pictures so I can ensure she is adjustable well to her new environment. Pls call,what app,we chat,viber to or email to if you are interested",11,3
66,Dog,2,Mixed Breed,Male,Black,White,Medium,Short,Yes,No,Healthy,0,"Mochi, momo and Molly are siblings, about 3 months old, black and white patches cute little babies, they are toilet trained potty on newspapers. Mochi was found in the bushes on 14/4/14 Sunday morning, siblings reunion with momo and Molly on 23/4/14 morning. They are healthy, playful and love human companion very much, Mochi has received the 1st vaccination on 16/4/14 wed and dewormed, momo and Molly will be receiving theirs next week. Interested adopter can adopt anyone of them or all of them, please call or what's app fosterer . Before you decided to take them as a new family member please go through the terms and conditions for adoption : 1) must agree on neutering when they reach 6th month old. 2) no adoption fees needed, however an amount of rm will be collected to keep aside for neutering fees in future. 3) provide sufficient space to run around, no caging and tying up in the house whole area and allow indoor. 4) allow home visit from foster/rescuer to visit until they are comfortable living with adopter in new environment, it should be arranged at least once a month. 5) able to provide basic medical treatments when they fall sick as well as complete the initial 3 vaccinations follow by yearly vaccination. 6) other members in the family must be informed and agree for this adoption.",18,3
67,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,"Puppies are five week old and looking for good home and family that can love them and treat them as part of the family. They are still very young and need love, patients and attention , so must take care them well. Adoption conditions: 1) Adopter must be Malaysian 2) They are not small size, they need a landed property to move around. 3) Give all the health and medical attention such as vaccination, deworming, tick lotion 4) Not for factory, workshop or farm use 5) During the stage of adoption, email or sent what app picture, so I can ensure they are adjustable well to her new environment. Pls call or what app to this no if interested:",5,3
68,Cat,24,Domestic Short Hair,Male,Yellow,No Color,Large,Short,No,No,Minor Injury,0,"Saya jumpa kucing ini yang datang di rumah. Mungkin ada orang yang buang. Keadaanya amat teruk dengan cedera dan kurap yang tebal. Saya telah membawanya ke Jabatan Haiwan untuk suntikan kurap dan merawat lukanya. Syukur kurapnya semakin baik. Cuma sedikit luka dalam proses untuk kering. Saya telah menjaganya lebih kurang satu bulan lebih. Masalah saya sekarang, si kurap tidak ngam dengan kucing jantan saya. Asyik bergaduh. Itu yg lukanya tidak baik2. Jadi saya mengambil keputusan untuk mencari sesiapa yg sudi untuk adopt dia. Dia seekor kucing yg manja, jinak dan mudah di dekati. Sesiapa yang sudi untuk mengadopt beliau sila hubungi saya melalui emel terima kasih.",12,3
69,Cat,24,Domestic Short Hair,Female,Brown,Yellow,Medium,Short,No,Yes,Healthy,0,location: Klang contact no.,1,4
70,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,"HeiHei was picked up from Penang SPCA on 6th Apr . He and his brother & sister should be PTS by Penang SPCA on 9th Apr . With the help from MDDB, he was given a 2nd chance to live. Refer for more details about his story.",2,3
71,Cat,19,Persian,Female,Black,Gray,Large,Long,Yes,No,Healthy,0,,3,1
72,Dog,4,Silky Terrier,Female,Brown,No Color,Small,Long,Not Sure,Yes,Healthy,0,"very cute, obedient, friendly, playful and active little puppy mother of pup is a silky terrier and father of pup is a pekingese. helping a friend post this up. Adoption Fee includes neutering.",3,3
73,Dog,24,Mixed Breed,Male,Brown,White,Medium,Short,No,No,Healthy,0,Please adopt him!!! He need a home urgently. Location at jalan keris taman sri tebrau JB.,3,3
74,Cat,3,Domestic Medium Hair,Male,Black,White,Medium,Medium,Not Sure,No,Healthy,0,owner desert them.....,1,1
75,Dog,24,Husky,Female,Black,Gray,Medium,Medium,Not Sure,Yes,Healthy,0,"Sweetie was rescued in Jan 08. The rescuer has taken great care of this mild mannered yet personable dog. She was unknowingly rescued pregnant, and gave birth to a litter of 5 pups. Sweetie is protective of the home, very friendly, very alert - makes a good watch dog and companion as well. Is not too hyper but has the energy to play too. she is suspected to be between 2-3 yrs old, is healthy, and very very pretty! See Sweetie here: and Contact:",2,2
76,Dog,60,Schnauzer,Male,Gray,No Color,Medium,Medium,Yes,Yes,Healthy,0,"Looking for a temporary foster home from September to the end of October. He is a very obedient, well-behaved and quiet dog. Lots of fun to have around. Looking for a nice home for two months, expenditure with regards to food will be covered.",3,4
77,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,For Adoption,1,3
78,Cat,3,Domestic Short Hair,Female,Brown,Golden,Small,Short,Yes,No,Healthy,0,"Honey is a female ginger tabby, with big puppy eyes. Biscuit and herself both have adorable kink tails just like Miso (both listed on my account). She has a personality as sweet as her name, and she likes mewing gently for permission to lounge on our laps. She is a little more shy compared to her siblings but she easily warms up to you. Adopters must continue to deworm, vaccinate and NEUTER. Preferably kept strictly indoors, and allowed to roam and climb around. Been toilet trained. Been fed AvoDerm canned cat food, so please do not feed lower quality kibbles. Please message or WhatsApp to enquire more about the cats.",7,1
79,Cat,2,Domestic Medium Hair,Male,Golden,No Color,Small,Medium,No,No,Healthy,0,"healty,playfull and manja sangat.",2,2
80,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,Female-3mths+ healthy and playful. she can eat dry food and rice. need to find an animal lover to give her a sweet home.,2,3
81,Cat,2,Domestic Short Hair,Female,Gray,White,Medium,Short,No,No,Healthy,0,"10 weeks old cute female kitty, lovable, cuddly seeking a new owner. Very active and playful. Toilet trained. Anyone interested can contact.",2,1
82,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,"This little one started hopping in and out of my house porch starting 3 weeks ago to play with my dogs. She is very active and adorable, constantly wagging her tail.",4,4
83,Cat,4,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,"Charlie was rescued by dogs! A friend was walking his dogs when they suddenly became excited outside an apartment complex and sniffed out a shoe box. Inside the shoe box was little Charlie! He was about 6 weeks old then, emaciated and dehydrated, just a scrap of skin and bones. He had a bad tummy virus but survived it after two weeks of antibiotics. Now he needs a permanent home! Charlie is very active, playful, and affectionate. He likes playing with other cats and sitting on people's laps. He uses his litterbox without fail. Charlie is best suited for indoor living, free-roaming inside a house or apartment. Adoption Procedure: - We'll have a chat and see if you and Charlie are suitable for each other. Then you can meet and see if you get along :) - Successful adopter will then have to meet us at my vet in order to get the little tyke vaccinated. Then your new family member is yours to take home and love forever. - Cost of vaccinations and neutering to be borne by adopter. I am primarily an independent rescuer/fosterer. My funds are extremely limited. - I do appreciate occasional updates and photos after a successful adoption! Vaccinations and neutering at 6 months of age are COMPULSORY for adoption. There are already too many stray homeless animals starving and suffering in the streets.. Look how Charlie started out! Please don't breed. When you want more pets, you can always ADOPT from a shelter. No cage confinement please, except in incidences of illness or injury. Imagine how bored, restless, and angry you'd be if you were locked up all the time. Prison is punishment! Interested parties can text or email me. An introduction of yourself, your experience with cats, and your approach to their care is greatly appreciated. Serious inquiries from responsible cat lovers only please. I want Charlie to be loved his whole life :)",5,2
84,Dog,120,Mixed Breed,Male,Black,Brown,Large,Short,Not Sure,Not Sure,Healthy,0,"I am posting this on my lecturer's behalf. She found this stray dog in her neighbourhood at Sungai Buloh. He was terrified of people but gradually warmed up to her after she fed him some food & he would wait outside her house at the same time every day for food. One day he didn't show up. When he finally showed up again, he had a large terrible wound on his neck. He was in so much pain and had tears in his eyes. She brought him to the vet and found out his wound had become infested with maggots. The vet treated him and she brought him home and nursed him back to health for over a month. The wound has now completely healed but unfortunately she is unable to keep him. He is estimated to be 10 years old but is still strong & healthy. We are unsure about his breed. He is very obedient & easy to care for. This precious angel has gone through a lot & really needs a loving home.",3,4
85,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,"Rocket was tied to back of a friend's home in our neighborhood and we decided to temporarily take it in. She is an adorable little puppy, cheerful and playful and in need of a loving home.",4,4
86,Dog,36,Golden Retriever,Female,Brown,Golden,Large,Medium,Yes,No,Healthy,0,"hi, this is jessy and she's a pure golden retriever dog born on the 20th march . she have been vaccinated 3 times and heartgard also have done. her health history completely clear and she haven't been spayed. the reason giving her for adoption is we could not spend much time with her due to personal issue so we want to give her to a better owner who can really look after the cutie. there is no any hidden fee shes a very friendly dog..for more info and if u r intrested call/sms or watsapp on. other things can be discuss later..thanks :) ps : we look adopter nearby klang - pj-subang-shahalam - other places cn discuss coz will visit her once in a month- and adopter also must agree to spay her ..",4,1
87,Cat,3,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,"Playful, manja, love being hug, indoor cat, litter and toilet trained.",3,4
88,Cat,60,Persian,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,Girl is very friendly and love to pamper. Afraid to hot weather. Love aircond. Only eat kibbles.,0,4
